name,category,price_range,estado,texto_recomendacao_limpo
de paula atelier,doces & bolos,cheapest,rj,de paula atelier doces bolos cheapest rj
trem de minas,conveniência,cheapest,pa,trem de minas conveniencia cheapest pa
veganois culinaria vegana,vegana,cheapest,sp,veganois culinaria vegana vegana cheapest sp
pizzaria gran famille,pizza,cheap,mg,pizzaria gran famille pizza cheap mg
shekinah lanches e porções,lanches,cheapest,sp,shekinah lanches e porcoes lanches cheapest sp
casa do açai e sorveteria,açaí,cheapest,sp,casa do acai e sorveteria acai cheapest sp
orion degust,brasileira,cheapest,ba,orion degust brasileira cheapest ba
costela e cia rotisserie,carnes,cheapest,mt,costela e cia rotisserie carnes cheapest mt
frangolino,brasileira,cheapest,ba,frangolino brasileira cheapest ba
padilha alimentos,mercado,cheapest,sp,padilha alimentos mercado cheapest sp
mania lanches chapecó,lanches,cheapest,sc,mania lanches chapeco lanches cheapest sc
cibi sana vinhedo,saudável,expensive,sp,cibi sana vinhedo saudavel expensive sp
trailer bocão,lanches,cheap,mg,trailer bocao lanches cheap mg
binetto hamburgueria,lanches,cheap,es,binetto hamburgueria lanches cheap es
city bier,brasileira,moderate,pr,city bier brasileira moderate pr
soupie tortas é caldos,brasileira,cheapest,sp,soupie tortas e caldos brasileira cheapest sp
confeitaria dolce vita,doces & bolos,cheapest,mg,confeitaria dolce vita doces bolos cheapest mg
chopp brahma express uberaba,mercado,expensive,mg,chopp brahma express uberaba mercado expensive mg
sabores da milla,doces & bolos,cheapest,pi,sabores da milla doces bolos cheapest pi
confitto,doces & bolos,cheapest,sc,confitto doces bolos cheapest sc
steak grill center shopping,brasileira,expensive,rj,steak grill center shopping brasileira expensive rj
kicaldos,brasileira,cheapest,sp,kicaldos brasileira cheapest sp
olimpo hambúrgueria,lanches,cheapest,mg,olimpo hamburgueria lanches cheapest mg
lanches bom gosto,variada,cheapest,sp,lanches bom gosto variada cheapest sp
saboga comedoria e açaiteria,brasileira,cheapest,pe,saboga comedoria e acaiteria brasileira cheapest pe
sabor na chapa,lanches,cheap,mg,sabor na chapa lanches cheap mg
la nonna panini - moema,lanches,expensive,sp,la nonna panini moema lanches expensive sp
ritt’s lancheria e pizzaria,brasileira,cheapest,rs,ritts lancheria e pizzaria brasileira cheapest rs
chocokid's,doces & bolos,cheapest,sp,chocokid s doces bolos cheapest sp
imaculado sabor,lanches,moderate,rs,imaculado sabor lanches moderate rs
yatsunami,japonesa,cheap,pr,yatsunami japonesa cheap pr
tempero mariá restaurante e bar,brasileira,cheapest,sp,tempero maria restaurante e bar brasileira cheapest sp
alquimistas dos pães,padaria,cheapest,sp,alquimistas dos paes padaria cheapest sp
wood's pizzas,pizza,expensive,rs,wood s pizzas pizza expensive rs
drica's cake,doces & bolos,cheap,sp,drica s cake doces bolos cheap sp
japão brasil delivery e restaurante,japonesa,expensive,rj,japao brasil delivery e restaurante japonesa expensive rj
art na chapa,lanches,cheapest,sp,art na chapa lanches cheapest sp
burguer artesanal,lanches,cheapest,sp,burguer artesanal lanches cheapest sp
restaurante bom paladar,brasileira,cheapest,go,restaurante bom paladar brasileira cheapest go
sp burguer | original,lanches,cheapest,mg,sp burguer original lanches cheapest mg
pizzaria tj,pizza,cheapest,ac,pizzaria tj pizza cheapest ac
akess burguer,lanches,cheapest,mt,akess burguer lanches cheapest mt
du bom gourmet,doces & bolos,cheapest,rj,du bom gourmet doces bolos cheapest rj
blitz conveniência,bebidas,cheapest,pr,blitz conveniencia bebidas cheapest pr
pri restaurante e conveniência,marmita,cheapest,ms,pri restaurante e conveniencia marmita cheapest ms
adélia docerie,doces & bolos,cheapest,sp,adelia docerie doces bolos cheapest sp
fini - litoral plaza praia grande,doces & bolos,cheapest,sp,fini litoral plaza praia grande doces bolos cheapest sp
clip - o sabor que prende,lanches,cheap,pr,clip o sabor que prende lanches cheap pr
meu favorito,lanches,cheapest,mg,meu favorito lanches cheapest mg
espetop,carnes,cheapest,rj,espetop carnes cheapest rj
happy bowls açaí - acai,açaí,moderate,sp,happy bowls acai acai acai moderate sp
beloca grego food,lanches,cheapest,ce,beloca grego food lanches cheapest ce
bauru country - bela vista,lanches,moderate,rs,bauru country bela vista lanches moderate rs
rk pizzaria,pizza,cheapest,rj,rk pizzaria pizza cheapest rj
castelo tropical,açaí,cheapest,ba,castelo tropical acai cheapest ba
hangar do pastel,pastel,cheapest,sp,hangar do pastel pastel cheapest sp
arca lanches,lanches,cheap,rs,arca lanches lanches cheap rs
