name,category,price_range,estado,texto_recomendacao_limpo
na esquina bar 2 dona clara ltda,carnes,cheapest,mg,na esquina bar 2 dona clara ltda carnes cheapest mg
caldos da geralda,brasileira,moderate,mg,caldos da geralda brasileira moderate mg
deliciu's,brasileira,cheapest,mg,deliciu s brasileira cheapest mg
hora do rango gourmet,brasileira,cheap,mg,hora do rango gourmet brasileira cheap mg
trust delivery,hambúrguer,cheapest,mg,trust delivery hamburguer cheapest mg
amai doce,doces & bolos,cheapest,mg,amai doce doces bolos cheapest mg
rei do caldo restaurante e tira-gosto,brasileira,cheapest,mg,rei do caldo restaurante e tira gosto brasileira cheapest mg
restaurante da regina - caiçara,brasileira,cheapest,mg,restaurante da regina caicara brasileira cheapest mg
restaurante e lanchonete lima,brasileira,cheapest,mg,restaurante e lanchonete lima brasileira cheapest mg
roots bbk,lanches,cheapest,mg,roots bbk lanches cheapest mg
pallet's beer & burguer,lanches,cheapest,mg,pallet s beer burguer lanches cheapest mg
chef nino mineiro,marmita,cheapest,mg,chef nino mineiro marmita cheapest mg
elegance bolos,doces & bolos,cheap,mg,elegance bolos doces bolos cheap mg
dogão 101,lanches,cheapest,mg,dogao 101 lanches cheapest mg
suplla food,brasileira,cheapest,mg,suplla food brasileira cheapest mg
quitutes da kah,doces & bolos,cheapest,mg,quitutes da kah doces bolos cheapest mg
pizzaria verona,pizza,moderate,mg,pizzaria verona pizza moderate mg
d'burguer 10,lanches,cheapest,mg,d burguer 10 lanches cheapest mg
atlas burguer's lanches,lanches,cheapest,mg,atlas burguer s lanches lanches cheapest mg
301 burger,lanches,cheapest,mg,301 burger lanches cheapest mg
arte da pizza bh,pizza,cheapest,mg,arte da pizza bh pizza cheapest mg
d'licias,lanches,cheapest,mg,d licias lanches cheapest mg
btt | batata recheada,lanches,moderate,mg,btt batata recheada lanches moderate mg
bullrgueria - hamburgueria artesanal,lanches,cheap,mg,bullrgueria hamburgueria artesanal lanches cheap mg
restaurante e lanchonete m&m,brasileira,cheapest,mg,restaurante e lanchonete m m brasileira cheapest mg
embarka gourmet,cozinha rápida,cheapest,mg,embarka gourmet cozinha rapida cheapest mg
sabor mineiro alimentos,brasileira,cheap,mg,sabor mineiro alimentos brasileira cheap mg
dendicasa comida mineira,mineira,moderate,mg,dendicasa comida mineira mineira moderate mg
ciao forneria,pizza,expensive,mg,ciao forneria pizza expensive mg
take a cake,doces & bolos,cheapest,mg,take a cake doces bolos cheapest mg
bar dos meninos,brasileira,cheapest,mg,bar dos meninos brasileira cheapest mg
brown lab doceria,doces & bolos,cheapest,mg,brown lab doceria doces bolos cheapest mg
doces docim,doces & bolos,cheapest,mg,doces docim doces bolos cheapest mg
açaí d'gustare,açaí,cheapest,mg,acai d gustare acai cheapest mg
doces da gabi,doces & bolos,cheap,mg,doces da gabi doces bolos cheap mg
sampa pastel,pastel,cheapest,mg,sampa pastel pastel cheapest mg
delícias da ju,brasileira,expensive,mg,delicias da ju brasileira expensive mg
bendito sabor,brasileira,cheap,mg,bendito sabor brasileira cheap mg
villa café savassi,cafeteria,cheapest,mg,villa cafe savassi cafeteria cheapest mg
mf distribuidora de bebidas,bebidas,cheap,mg,mf distribuidora de bebidas bebidas cheap mg
bdm bar,brasileira,cheapest,mg,bdm bar brasileira cheapest mg
hott delivery,pizza,cheapest,mg,hott delivery pizza cheapest mg
mimo di latte,sorvetes,cheapest,mg,mimo di latte sorvetes cheapest mg
salva golo - centro sul,bebidas,expensive,mg,salva golo centro sul bebidas expensive mg
shiará food & açaí,variada,cheapest,mg,shiara food acai variada cheapest mg
i love hamburgers,brasileira,cheapest,mg,i love hamburgers brasileira cheapest mg
açaí do ti,brasileira,cheapest,mg,acai do ti brasileira cheapest mg
dogão lanches,lanches,cheapest,mg,dogao lanches lanches cheapest mg
marmitex e sanduiches itsforburger,lanches,cheapest,mg,marmitex e sanduiches itsforburger lanches cheapest mg
bella pizza,pizza,cheapest,mg,bella pizza pizza cheapest mg
bocao bar,bebidas,moderate,mg,bocao bar bebidas moderate mg
monna gourmet,doces & bolos,cheapest,mg,monna gourmet doces bolos cheapest mg
pizzaria famma,pizza,cheapest,mg,pizzaria famma pizza cheapest mg
boomerang,açaí,cheapest,mg,boomerang acai cheapest mg
graziani burger,hambúrguer,cheapest,mg,graziani burger hamburguer cheapest mg
doce amor confeitaria,doces & bolos,cheapest,mg,doce amor confeitaria doces bolos cheapest mg
sabor especial marmitaria,brasileira,cheapest,sp,sabor especial marmitaria brasileira cheapest sp
